id,title,description,availability,condition,price,link,image_link,brand
SS-SCRUB-7,"7 oz Foaming Body Scrub","Dense creamy exfoliating sugar scrub with rich lather and scent-forward body care",in stock,new,"11.99 USD",https://skinsessed.com/products/foaming-body-scrub-7oz.html,https://skinsessed.com/body-care-duo.png,SkinSessed
SS-SCRUB-11,"11 oz Foaming Body Scrub","Dense creamy exfoliating sugar scrub with rich lather and scent-forward body care",in stock,new,"16.99 USD",https://skinsessed.com/products/foaming-body-scrub-11oz.html,https://skinsessed.com/body-care-duo.png,SkinSessed
SS-SECOND-6,"6 oz Second Skin Moisturizer","Rich concentrated body moisturizer for soft smooth conditioned skin",in stock,new,"13.99 USD",https://skinsessed.com/products/second-skin-moisturizer-6oz.html,https://skinsessed.com/body-care-duo.png,SkinSessed
SS-SECOND-10,"10 oz Second Skin Moisturizer","Rich concentrated body moisturizer for soft smooth conditioned skin",in stock,new,"18.99 USD",https://skinsessed.com/products/second-skin-moisturizer-10oz.html,https://skinsessed.com/body-care-duo.png,SkinSessed
SS-LIQSAT-2,"2 oz Liquid Satin Face Primer","Silky lightweight smoothing face primer with a soft satin-finish makeup base",in stock,new,"18.99 USD",https://skinsessed.com/products/liquid-satin-2oz.html,https://skinsessed.com/Liquid%20Satin%20Prod%20Shot.png,SkinSessed
SS-BALM-1,"1 oz Dessert Balm Glide Stick","Solid glide-on body moisturizer with rich silky moisture and scent choice",in stock,new,"10.99 USD",https://skinsessed.com/products/dessert-balm-glide-stick-1oz.html,https://skinsessed.com/Updated%20Balm%20Sticks%20Products.png,SkinSessed
SS-GIFT-COMPLETE,"Complete SkinSessed Gift Set","Complete gift set with body scrub Second Skin moisturizer goat milk soap Lip Seal and exfoliating glove with coordinated scent choice",in stock,new,"38.00 USD",https://skinsessed.com/products/complete-skinsessed-gift-set.html,https://skinsessed.com/GiftSet.png,SkinSessed
SS-SOAP-3,"5 Palm-Size Goat Milk Soap Bars","Set of five smaller palm-size handmade goat milk soap bars with creamy lather and scent-forward designs",in stock,new,"15.99 USD",https://skinsessed.com/products/goat-milk-soap-3-bar-set.html,https://skinsessed.com/SQSoaps.jpg,SkinSessed
SS-BLISS-4,"4 Sculpted Bliss Massage Bars","Set of four sculpted goat milk massage bars with raised massage points and creamy lather",in stock,new,"15.99 USD",https://skinsessed.com/products/sculpted-bliss-4-pack.html,https://skinsessed.com/Prod%20Shot%20Bliss%20OatmealMH.png,SkinSessed
SS-FIRM-6,"6 oz Firming Complex","Lavender Mint body moisturizer with Sepilift DPHP for skin that looks smoother softer and well moisturized",in stock,new,"14.99 USD",https://skinsessed.com/products/firming-complex-6oz.html,https://skinsessed.com/6oz10oz%20FirmingComp.png,SkinSessed
SS-FIRM-10,"10 oz Firming Complex","Lavender Mint body moisturizer with Sepilift DPHP for skin that looks smoother softer and well moisturized",in stock,new,"21.99 USD",https://skinsessed.com/products/firming-complex-10oz.html,https://skinsessed.com/6oz10oz%20FirmingComp.png,SkinSessed
